,overall_severity,X
389,3.0,"['sign', 'bewbs', 'sign', 'bewbs']"
390,3.0,"['ima', 'bite', 'da', 'tip', 'yo', 'dick', 'offf', 'n', 'splatter', 'itty', 'bitty', 'piece', 'ima', 'bite', 'da', 'tip', 'yo', 'dick', 'offf', 'n', 'splatter', 'itty', 'bitty', 'piece']"
391,3.0,"['babbyy', 'throw', 'babbyy', 'wan', 'na', 'throw']"
392,3.0,"['bxtchh', 'bxtchh']"
393,3.0,"['get', 'yo', 'knee', 'meh', 'get', 'meh', 'nevah']"
394,3.0,"['wtf', 'virgin', 'virgin', 'virgin', 'lie', 'lie']"
395,3.0,"['fuck', 'nigger', 'fuck', 'nigger', 'whoa', 'cool']"
396,3.0,"['u', 'like', 'sex']"
397,3.0,"['damn', 'sluttz', 'big', 'butt']"
398,3.0,"['dumb', 'fake', 'shes', 'dumb', 'told', 'fake', 'everyone', 'look', 'told', 'fake', 'like', 'im', 'fake', 'took', 'bettys', 'picture', 'shes', 'dumb']"
399,3.0,"['want', 'fight', 'find', 'someone', 'want', 'fight']"
400,3.0,"['name', 'calling', 'baby', 'baby']"
401,3.0,"['iz', 'yyo', 'cum', 'realie', 'gray', 'cum', 'realie', 'gray']"
402,3.0,"['would', 'ur', 'mom', 'ur', 'mom', 'ur', 'mom']"
403,3.0,"['cousin', 'whore', 'whore']"
404,3.0,"['got', 'buttfucked', 'pimp', 'slapped', 'ouch', 'got', 'buttfucked', 'slappppppppped', 'pimped', 'slapped']"
405,3.0,"['mr', 'big', 'forehead', 'dating', 'huh', 'mr', 'big', 'forehead', 'dating', 'huh', 'mr', 'big', 'forehead']"
406,3.0,"['wut', 'sz', 'r', 'u', 'tit', 'wut', 'sz', 'r', 'u', 'tit']"
407,3.0,"['ya', 'mom', 'behh', 'tearn', 'ya', 'asz', 'mother', 'better', 'tear', 'as', 'think', 'say', 'something', 'person', 'mother', 'yu', 'dam', 'lyee', 'mikey', 'yu', 'kno', 'ya', 'mom', 'behh', 'tearn', 'ya', 'asz', 'ya', 'mom', 'behh', 'tearn', 'ya', 'asz']"
