,overall_severity,X
583,2.0,"['love', 'someone', 'someone', 'likely']"
584,2.0,"['question', 'seem', 'getting', 'perverted', 'question', 'seem', 'getting', 'perverted', 'seriously', 'secondhand', 'embarassment', 'much', 'hehe']"
585,2.0,"['3', 'overrated', 'musician', 'hmm', 'overrated', 'r', 'r', 'taylor', 'swiftr', 'jonas', 'brothersr', 'miranda', 'lambert', 'overrated']"
586,2.0,"['yo', 'momma', 'yo', 'momma']"
587,2.0,"['fukk', 'fukk']"
588,2.0,"['ur', 'mad', 'ugly', 'ur', 'mad', 'ugly', 'ur', 'mad', 'ugly']"
589,2.0,"['sex', 'leg', 'sex', 'leg']"
590,2.0,"['gay', 'gay']"
591,2.0,"['remind', 'dick', 'remind', 'dick']"
592,2.0,"['suck', 'comeback', 'suck', 'ball']"
593,2.0,"['kukluxklanownz', 'yell', 'nigguh', 'pas', 'link']"
594,2.0,"['lame', 'lame', 'as', 'lame', 'as', 'extra', 'lame', 'may', 'mutual', 'joke', 'though']"
595,2.0,"['wtf', 'got', '2', 'b', 'freakiest', 'bitch', 'got', '2', 'b', 'freakiest', 'bitch', 'got', '2', 'b', 'freakiest', 'bitch']"
596,2.0,"['gay', 'fat', 'gay', 'fat']"
597,2.0,"['fucked', 'anthony', 'dumb', 'bitch', 'u', 'dumb', 'hoe', 'bitch']"
598,2.0,"['make', 'fun', 'hick', 'red', 'neck', 'people', 'saying', 'stupid', 'cant', 'stand', 'hick', 'red', 'neck', 'blahhhh', 'got', 'ta', 'talk', 'like', 'im', 'stupid', 'knowledge', 'im', 'saying', 'yaaaahhh', 'lll', 'ugh', 'hate', 'haha']"
599,2.0,"['mean', 'mean']"
600,2.0,"['fuck', 'fuck', 'yew']"
601,2.0,"['middle', 'school', 'would', 'going', '10th', '11th', 'high', 'school', 'guy', 'seem', 'like', 'good', 'idea', 'im', 'sorry', 'cant', 'please', 'everybodyr']"
602,2.0,"['emily', 'grabbed', 'hair', 'totally', 'pulled', 'seat', 'lol', 'fite', 'shizzle']"
603,2.0,"['remind', 'old', 'man', 'remind', 'old', 'man', 'remind', 'old', 'man']"
604,2.0,"['male', 'anagram', 'hitler', 'know', 'male', 'anagram', 'hitler']"
605,2.0,"['u', 'sniff', 'poo', 'sniff', 'poo']"
606,2.0,"['fanny', 'dick', 'fanny', 'dick', 'fanny', 'dick']"
607,2.0,"['name', 'wooooooooooood']"
608,2.0,"['many', 'time', 'fucked', 'jeez', 'fuck', 'offf', 'many', 'time', 'fucked', 'elventy', 'four', 'r', 'jeez', 'fuck', 'offf']"
609,2.0,"['question', 'asker', 'infers', 'something', 'wrong', 'gay', 'answerer', 'gay', 'could', 'seen', 'bullying', 'say', 'gay', 'cool', 'say', 'gay', 'cool']"
610,2.0,"['im', 'mad', 'im', 'mad']"
611,2.0,"['suck', 'dick', 'questioner', 'comment', 'may', 'seen', 'offensive', 'discussing', 'religion', 'tell', 'person', 'suck', 'dick', 'suck', 'dick']"
612,2.0,"['big', 'ur', 'dick', 'big', 'ur', 'dick']"
613,2.0,"['dumb', 'bxtch', 'dumb', 'bxtch']"
614,2.0,"['dumb', 'yousoo', 'dumb']"
615,2.0,"['freak', 'freak']"
616,2.0,"['youu', 'need', 'answer', 'question', 'gay', 'gay']"
617,2.0,"['fake', 'hey', 'everyone', 'girl', 'fake', 'girl', 'fake', 'ta']"
618,2.0,"['sexy', 'beast', 'cute']"
619,2.0,"['tittties', 'sexual', 'harassment']"
620,2.0,"['dueces', 'crazy', 'as', 'bitch', 'ever', 'fuck', 'want', 'ha', 'juss', 'block', 'dueces', 'crazy', 'as', 'bitch']"
621,2.0,"['dirty', 'slut', 'dirty', 'slut', 'cheated', 'wife', 'feel', 'like', 'dirty', 'slut']"
622,2.0,"['love', 'hate', 'love', 'hate']"
623,2.0,"['derogatory', 'vulgar', 'language', 'notalking', 'shit', 'good', 'talk', 'siht', 'shit']"
624,2.0,"['r', 'u', 'retarded', 'retarded', 'retarded']"
625,2.0,"['wow', 'u', 'betah', 'talk', 'right', 'cause', 'shit', 'aint', 'funny', 'wtf', 'going', 'shit', 'aint', 'funny', 'wtf']"
626,2.0,"['big', 'weenie', 'eminem', 'describes', 'much', 'everyone', 'feel', 'way', 'towards', 'xd', 'describes', 'much', 'everyone', 'feel', 'way', 'towards']"
627,2.0,"['obsessed', 'look', 'obsessed', 'look']"
628,2.0,"['little', 'sister', 'retarted', 'retarted']"
629,2.0,"['zip', 'dumpster', 'baby', 'get', 'anymore', 'lesbian', 'get', 'anymore', 'lesbian']"
630,2.0,"['u', 'cant', 'steal', 'dork', 'didnt', 'say', 'made', 'dork']"
631,2.0,"['lifted', 'leg', 'went', 'flying', 'like', 'superwoman', 'answerer', 'call', 'asker', 'name']"
632,2.0,"['people', 'slept', 'asks', 'sexual', 'partner']"
633,2.0,"['hi', 'asslee', 'asshole', 'hi', 'asslee', 'asshole']"
634,2.0,"['since', 'aussie', 'rope', 'walabies', 'free', 'time', 'since', 'aussie', 'rope', 'walabies', 'free', 'time']"
635,2.0,"['shemale', 'shemale']"
636,2.0,"['hater', 'slap', 'n', 'tickle', 'comment', 'hater', 'bck', 'page']"
637,2.0,"['dirty', 'horndogs', 'dirty', 'question', 'horndogs']"
638,2.0,"['look', 'bulimic', 'look', 'bulimic', 'got', 'big', 'jug']"
